Название,Рейтинг,Количество отзывов,Цена,link,Страна,Гарантия,Игровой системный блок,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Тип видеопамяти,LAN-адаптер,VGA (D-Sub),DVI,HDMI,DisplayPort,USB 2.0,USB 3.0,LAN разъем (RJ-45),Фронтальный разъем для наушников/микрофона 3.5мм,Типоразмер корпуса,Подсветка корпуса,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,USB,Разъем для наушников,Тип оптического привода,Bluetooth-адаптер,Wi-Fi,Стандарт Wi-Fi,USB 3.0 (Type-C),Размещение,Объем первого накопителя,Объем второго накопителя,Line-In,Фронтальный разъем для наушников 3.5мм,Кэш L2,Разъем для наушников/микрофона,USB 3.1,USB 3.1 (Type-C),Разъем для микрофона,Материал корпуса,Фронтальный разъем для микрофона 3.5мм,Дополнительная информация,Картридер,Интерфейс подключения,Скорость вращения шпинделя,Кабель питания,Тип вилки,PS/2,Производитель чипсета,Модель чипсета,Количество ядер графического процессора,Thunderbolt/USB 4,USB 3.2,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink,USB 3.2 (Type-C),Клавиатура,Мышь,Последовательный порт RS-232,Разрядность
Компьютер MUST MBM3600120723,5.0,5.0,62 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-must-mbm3600120723/,Россия,6 месяцев,,Нет ,AMD ,Ryzen 5 3600,3.6 ГГц ,4.2 ГГц,6 ,32 МБ,16 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,1.5 ТБ ,Дискретная ,NVIDIA ,GTX 1650,4 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,1 шт.,,4 шт.,5 шт.,1 шт.,Есть,Midi-Tower ,,500 Вт,48.8 см,20.2 см,45.5 см,8.5 кг,Черный,,,,,,,,,1 ТБ,512 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Игровой компьютер Acer PO3-630, i7 11700F/16GB/SSD 512GB+2TB/RTX3070",5.0,11.0,129 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-acer-po3-630-i7-11700f-16gb-ssd-512gb-2tb-rtx3070/,Китай,1 год,Есть ,Нет ,Intel ,Core i7-11700F,2.5 ГГц ,4.9 ГГц,8 ,16 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,4 шт.,HDD+SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,3,2 шт.,3 шт.,1 шт.,Есть,,Есть,500 Вт,39.2 см,17.5 см,38.6 см,7.4 кг,Черный,7 шт.,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",2 шт.,Вертикальное,512 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Nerpa Hispida I540 (I540-1508223),0.0,0.0,87 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-nerpa-hispida-i540-i540-1508223/,Россия,1 год,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,1.512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,1 шт.,3,4 шт.,,1 шт.,,,Есть,600 Вт,45 см,23 см,45 см,10 кг,Черный,4 шт.,,Нет ,,,,,,1 ТБ,512 ГБ,3,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер MUST MBM11700110722,5.0,7.0,159 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-must-mbm11700110722/,Россия,6 месяцев,,Нет ,Intel ,Core i7-11700F,2.5 ГГц ,4.9 ГГц,8 ,16 МБ,32 ГБ ,32 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,3 ТБ ,Дискретная ,NVIDIA ,3070 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,1 шт.,,4 шт.,5 шт.,1 шт.,,Midi-Tower ,,800 Вт,44.6 см,20.4 см,39.6 см,8.5 кг,Черный,,,,,,,,Вертикальное,2 ТБ,1 ТБ,1,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Raskat Strike 520 i5-10400F/16GB/512GB/RTX3060/NoOS (105617),5.0,9.0,86 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-raskat-strike-520-i5-10400f-16gb-512gb-rtx3060-noos-105617/,Россия,3 года,,Нет ,Intel ,Core i5-10400F,2.9 ГГц ,4.3 ГГц,6 ,,16 ГБ ,128 ГБ,DDR4,3200 МГц,4 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,1 шт.,1,4 шт.,5 шт.,1 шт.,Есть,Midi-Tower ,Есть,550 Вт,47.9 см,44.2 см,21 см,12 кг,Черный,10 шт.,,,,,,1 шт.,,,,3,,12 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Oldi Computers PC Game 700 (798366),5.0,2.0,129 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-oldi-computers-pc-game-700-798366/,Россия,1 год,Есть ,Нет ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR5,5200 МГц,4 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,3,4 шт.,,1 шт.,Есть,Midi-Tower ,Есть,700 Вт,47 см,21.5 см,46 см,13.7 кг,Черный,9 шт.,,,,,,5 шт.,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер MSI MAG Codex X5 11TG-1473XRU,5.0,1.0,134 799 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-msi-mag-codex-x5-11tg-1473xru/,Китай,2 года,,FreeDOS ,Intel ,Core i7-11700KF,3.6 ГГц ,5 ГГц,8 ,16 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,4 шт.,SSD ,1 ТБ ,Дискретная ,,GeForce RTX 3060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,2 шт.,4,4 шт.,7 шт.,1 шт.,,Midi-Tower ,,,51.48 см,46.6 см,19.5 см,10 кг,Черный,,,,Есть,Есть ,,3 шт.,Вертикальное,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер MSI MPG Trident AS 11TG-2436RU,5.0,1.0,132 799 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-msi-mpg-trident-as-11tg-2436ru/,Китай,2 года,Есть ,Windows 11 ,Intel ,Core i7-11700F,2.5 ГГц ,4.8 ГГц,8 ,16 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,4 шт.,SSD ,500 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,2 шт.,4,5 шт.,4 шт.,1 шт.,Есть,,,450 Вт,41.039 см,13.706 см,39.657 см,5.53 кг,Черный,,,Нет ,Есть,Есть ,,2 шт.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор V2 White,0.0,0.0,32 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-v2-white/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 4600G,3.7 ГГц ,4.2 ГГц,6 ,8 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,,400 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,A320M,,,,,,,,,,,,
Игровой компьютер Robotcomp M-16 V3 Plus,0.0,0.0,64 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m-16-v3-plus/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,Core i5-10400F,2.9 ГГц ,4.3 ГГц,4 ,12 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR5,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,Нет ,,Есть ,IEEE 802.11n,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H510M,,,,,,,,,,,,
Игровой компьютер Robotcomp Старт V2 Plus White 1650,0.0,0.0,49 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-start-v2-plus-white-1650/,Россия,3 года,Есть ,Windows 10 Профессиональная ,Intel ,Core i3-10100F,3.6 ГГц ,4.3 ГГц,4 ,6 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,1 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR5,1000/100/10 Мбит/с,,,1 шт.,,1 шт.,2 шт.,1 шт.,Есть,,Есть,500 Вт,42 см,21 см,37 см,8 кг,Белый,,,,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер MUST MBM1010041022,5.0,1.0,25 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-must-mbm1010041022/,Россия,6 месяцев,,Нет ,Intel ,Core i3-10100,3.6 ГГц ,4.3 ГГц,4 ,6 МБ,8 ГБ ,32 ГБ,DDR4,2666 МГц,2 шт.,SSD ,256 ГБ ,Интегрированная ,Intel ,UHD Graphics 630,,,1000/100/10 Мбит/с,Есть,,1 шт.,,4 шт.,2 шт.,1 шт.,,Mini-Tower ,,450 Вт,35 см,17 см,32.5 см,5.5 кг,Черный,,,,,,,,Вертикальное,,,1,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер MUST MBM11400510110722,0.0,0.0,34 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-must-mbm11400510110722/,Россия,6 месяцев,,Нет ,Intel ,Core i5-11400,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,16 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,Intel ,UHD Graphics 730,,,1000/100/10 Мбит/с,Есть,,1 шт.,,4 шт.,2 шт.,1 шт.,,Mini-Tower ,,450 Вт,35 см,17 см,32.5 см,5.5 кг,Черный,,,,,,,,Вертикальное,,,1,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Компьютер Raskat Standart 300 i3-10100, 16GB, SSD 256GB + HDD 1TB, NoOS",5.0,9.0,30 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-raskat-standart-300-i3-10100-16gb-ssd-256gb-hdd-1tb-noos/,Россия,3 года,,Нет ,Intel ,Core i3-10100,3.6 ГГц ,4.3 ГГц,4 ,,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.256 ТБ ,Интегрированная ,Intel ,UHD Graphics 630,,,1000/100/10 Мбит/с,Есть,,1 шт.,,6 шт.,3 шт.,1 шт.,Есть,,,,34.4 см,16.5 см,29.5 см,4.7 кг,Черный,9 шт.,,,,,,,,1 ТБ,256 ГБ,,,6 МБ,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
"Игровой компьютер MSI MAG Codex X5, i7K RTX 3070 Ti/32GB/1TB HDD+1 TB SSD",5.0,2.0,199 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-msi-mag-codex-x5-i7k-rtx-3070-ti-32gb-1tb-hdd-1-tb-ssd/,Китай,1 год,Есть ,Windows 11 ,Intel ,Core i7-12700KF,3.6 ГГц ,5 ГГц,12 ,,32 ГБ ,64 ГБ,DDR5,4400 МГц,4 шт.,HDD+SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070 Ti,8 ГБ,GDDR6X,1000/100/10 Мбит/с,,,2 шт.,4,4 шт.,7 шт.,1 шт.,Есть,,Есть,,51.48 см,19.5 см,46.6 см,10 кг,Черный,14 шт.,,,,,,3 шт.,Вертикальное,1 ТБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Игровой компьютер MSI MAG Codex X5, i7K RTX 3070 Ti/32GB/1TB HDD+1 TB SSD",,,199 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-msi-mag-codex-x5-i7k-rtx-3080-ti-32gb-1tb-hdd-1tb-ssd/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Игровой компьютер MSI MAG Codex X5, i7K RTX 3080/32GB/1TB HDD + 1TB SSD",5.0,1.0,234 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-msi-mag-codex-x5-i7k-rtx-3080-32gb-1tb-hdd-1tb-ssd/,Китай,1 год,Есть ,Windows 10 Домашняя x64 ,Intel ,,3.6 ГГц ,5 ГГц,12 ,,32 ГБ ,64 ГБ,DDR5,4400 МГц,4 шт.,HDD+SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,8 ГБ,GDDR6X,1000/100/10 Мбит/с,,,2 шт.,4,4 шт.,7 шт.,1 шт.,Есть,,Есть,,51.48 см,19.5 см,46.6 см,10 кг,Черный,14 шт.,,,,,,3 шт.,Вертикальное,1 ТБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Raskat Standart 300 105126 (i3-10100/8GB/SSD256GB/NOOS),5.0,4.0,25 999 р.,https://www.eldorado.ru/cat/detail/sistemnyy-blok-raskat-standart-300-105126/,Россия,3 года,,Нет ,Intel ,Core i3-10100,3.6 ГГц ,4.3 ГГц,4 ,,8 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,256 ГБ ,Интегрированная ,Intel ,UHD Graphics 630,,,1000/100/10 Мбит/с,Есть,,1 шт.,,6 шт.,2 шт.,1 шт.,,Midi-Tower ,,,43.1 см,22.5 см,40 см,9.8 кг,Черный,8 шт.,,,,,,,,,,3,Есть,6 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Raskat STRIKE720 i7-12700F/32GBG/1T+2T/3090/W10 (105609),5.0,5.0,319 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-raskat-strike720-i7-12700f-32gbg-1t-2t-3090-w10-105609/,Россия,3 года,,Windows 10 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR5,5200 МГц,4 шт.,HDD+SSD ,3 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3090,24 ГБ,GDDR6X,1000/100/10 Мбит/с,Есть,,1 шт.,1,1 шт.,9 шт.,1 шт.,Есть,Midi-Tower ,,1000 Вт,47.9 см,21 см,44.2 см,15 кг,Черный,12 шт.,,,,,,2 шт.,,1 ТБ,2 ТБ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Thunderobot BW IV Max D i5-12400/16Gb/SSD1Tb/RTX3070TI/noOS,5.0,2.0,129 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-thunderobot-bw-iv-max-d-i5-12400-16gb-ssd1tb-rtx3070ti-noos/,Китай,1 год,Есть ,FreeDOS ,Intel ,Core i5-12400,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070 Ti,8 ГБ,GDDR6X,1000/100/10 Мбит/с,Есть,,2 шт.,4,3 шт.,5 шт.,1 шт.,Есть,,Есть,750 Вт,51 см,21 см,52 см,15.7 кг,Черный,9 шт.,Есть,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",1 шт.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер MUST MBM10100256111122,5.0,2.0,25 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-must-mbm10100256111122/,Россия,6 месяцев,,Нет ,Intel ,Core i3-10100,3.6 ГГц ,4.3 ГГц,4 ,6 МБ,8 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,SSD ,256 ГБ ,Интегрированная ,Intel ,UHD Graphics 630,,,1000/100/10 Мбит/с,Есть,,1 шт.,,3 шт.,4 шт.,1 шт.,,,,650 Вт,35.6 см,10.2 см,33.8 см,,Черный,,Есть,,,,,1 шт.,Вертикальное,,,,Есть,,,,,,,,,SD,,,,,,,,,,,,,,,,,,,
Компьютер MUST MBM11400480111122,5.0,4.0,35 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-must-mbm11400480111122/,Россия,6 месяцев,,Нет ,Intel ,Core i5-11400,2.9 ГГц ,4.3 ГГц,6 ,,8 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,Intel ,UHD Graphics 730,,,1000/100/10 Мбит/с,Есть,,1 шт.,,3 шт.,4 шт.,1 шт.,,,,650 Вт,35.6 см,10.2 см,33.8 см,,Черный,,Есть,,,,,1 шт.,Вертикальное,,,,Есть,12 МБ,,,,,,,,SD,,,,,,,,,,,,,,,,,,,
Игровой компьютер Nerpa Hispida A540 (A540-1508221),0.0,0.0,64 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-nerpa-hispida-a540-a540-1508221/,Россия,1 год,Есть ,Нет ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,1.512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,8 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,2 шт.,3,4 шт.,,1 шт.,,,,600 Вт,38.7 см,23 см,37.8 см,8 кг,Черный,4 шт.,,Нет ,,,,,,1 ТБ,512 ГБ,3,Есть,3 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Nerpa Hispida A540 (A540-1508223),0.0,0.0,84 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-nerpa-hispida-a540-a540-1508223/,Россия,1 год,Есть ,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,32 МБ,16 ГБ ,128 ГБ,DDR4,3200 МГц,4 шт.,HDD+SSD ,1.512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,1 шт.,3,4 шт.,,1 шт.,,,Есть,600 Вт,45 см,23 см,45 см,10 кг,Черный,4 шт.,,Нет ,,,,,,1 ТБ,512 ГБ,3,Есть,3 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Apple Mac mini M2 Pro 10 core/16 core/16GB/512GB (MNH73),0.0,0.0,183 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-apple-mac-mini-m2-pro-10-core-16-core-16gb-512gb-mnh73/,Китай,1 год,,MacOS ,Apple ,Apple M2 Pro,,,10 ,,16 ГБ ,,,,,SSD ,512 ГБ ,Интегрированная ,Apple ,Apple M2 Pro,,,1000/100/10 Мбит/с,,,1 шт.,,,2 шт.,1 шт.,,Nettop ,,185 Вт,3.58 см,19.7 см,19.7 см,1.28 кг,Серебристый,,Есть,Нет ,Есть,Есть ,IEEE 802.11ax,,,,,,,,,,,,Алюминий,,,,,,Есть,,,,,16,4 шт.,,,,,,,,,,
Игровой компьютер LYAMBDA Elisium L-GM1737-BK,5.0,1.0,319 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-lyambda-elisium-l-gm1737-bk/,Россия,3 года,Есть ,Windows 11 Домашняя ,Intel ,Core i7-13700KF,3.4 ГГц ,5.4 ГГц,16 ,30 МБ,64 ГБ ,128 ГБ,DDR5,5200 МГц,4 шт.,SSD ,1 ТБ ,Дискретная ,AMD ,Radeon RX 7900 XTX,24 ГБ,GDDR6,1000/100/10 Мбит/с,,,2 шт.,2,4 шт.,9 шт.,1 шт.,Есть,,,1000 Вт,51.5 см,22.5 см,51 см,16.32 кг,Черный,,,,Есть,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",3 шт.,Вертикальное,,,3,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,
Игровой компьютер LYAMBDA Inferno L-GM1725-BK,5.0,1.0,469 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-lyambda-inferno-l-gm1725-bk/,Россия,3 года,Есть ,Windows 11 Домашняя ,Intel ,Core i9-13900K,3 ГГц ,5.8 ГГц,24 ,36 МБ,64 ГБ ,128 ГБ,DDR5,5200 МГц,4 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4090,24 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,3,4 шт.,15 шт.,1 шт.,Есть,,,1200 Вт,56 см,24 см,58 см,21.29 кг,Черный,,,,Есть,Есть ,"IEEE 802.11b, IEEE 802.11g, IEEE 802.11n",3 шт.,Вертикальное,,,3,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,
Игровой компьютер Chuwi CoreBox i3-1215U 16/512GB,0.0,0.0,36 990 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-chuwi-corebox-i3-1215u-16-512gb/,Китай,1 год,Есть ,Windows 11 Домашняя ,Intel ,Core i5-8259U,2.3 ГГц ,3.8 ГГц,4 ,6 МБ,16 ГБ ,,DDR4,3200 МГц,,SSD ,512 ГБ ,Интегрированная ,Intel ,Iris Plus Graphics 655,,,1000/100/10 Мбит/с,,,1 шт.,1,,4 шт.,1 шт.,Есть,,,19 Вт,7.3 см,17.3 см,15.8 см,0.805 кг,Серый,,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Горизонтальное,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Chuwi RZBox Ryzen 7 5800H/16GB/512GB/Windows 11 Home (174585),0.0,0.0,46 990 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-chuwi-rzbox-ryzen-7-5800h-16gb-512gb-windows-11-home-174585/,Китай,1 год,Есть ,Windows 11 Домашняя ,AMD ,Ryzen 7 5800H,3.2 ГГц ,4.4 ГГц,8 ,16 МБ,16 ГБ ,,DDR4,3200 МГц,,SSD ,512 ГБ ,Интегрированная ,AMD ,Radeon Graphics,,,1000/100/10 Мбит/с,Есть,,1 шт.,1,3 шт.,2 шт.,2 шт.,,,,19 Вт,18 см,17.75 см,4.3 см,1.35 кг,Черный,,,,Есть,Есть ,IEEE 802.11ax,,,,,,,,Есть,,,,,,,,,,Есть,,,,,,,,,,,,,,,,
Игровой компьютер Chuwi RZBox Ryzen 7 5800H/16GB/512GB/Windows 11 Home (174585),,,46 990 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-thunderobot-alpha-xd-jt00es00eru/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Thunderobot Black Warrior IV Ultra 7 (JT00EP00ERU),0.0,0.0,199 990 р.,https://www.eldorado.ru/cat/detail/kompyuter-thunderobot-black-warrior-iv-ultra-7-jt00ep00eru/,Китай,1 год,,Windows 11 ,Intel ,Core i7-12700,2.5 ГГц ,4.4 ГГц,12 ,25 МБ,32 ГБ ,,DDR4,3200 МГц,1 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,RTX 3080 Ti,32 ГБ,GDDR4,,Есть,,1 шт.,1,3 шт.,1 шт.,1 шт.,,,Есть,1000 Вт,51.2 см,21 см,52.2 см,15.7 кг,Черный,,,Нет ,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Thunderobot Alpha D (JT00ET00ERU),0.0,0.0,59 990 р.,https://www.eldorado.ru/cat/detail/kompyuter-thunderobot-alpha-d-jt00et00eru/,Китай,1 год,Есть ,Нет ,Intel ,Core i5-12400,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,,1 шт.,1,6 шт.,3 шт.,1 шт.,,,Есть,300 Вт,44 см,20 см,33.5 см,5.84 кг,Черный,,,Нет ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 шт.,,,,,,,,,
Компьютер Thunderobot Black Warrior III Pro XL D (JT00EM00ERU),0.0,0.0,99 990 р.,https://www.eldorado.ru/cat/detail/kompyuter-thunderobot-black-warrior-iii-pro-xl-d-jt00em00eru/,Китай,1 год,,Нет ,Intel ,Core i5-12400,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,,Есть,,1 шт.,,1 шт.,,1 шт.,Есть,,Есть,600 Вт,51.2 см,21 см,52.2 см,11.42 кг,"Серый, Черный",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 шт.,,,,,,,,,
Игровой компьютер Robotcomp Борей V2,0.0,0.0,101 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-borey-v2/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,25 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,1.512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,3,,,1 шт.,,Midi-Tower ,Есть,700 Вт,49.1 см,23 см,38.6 см,12 кг,Черный,,,Нет ,,,,,Вертикальное,1 ТБ,512 ГБ,,,,,,,,,,,,,,,,,Intel,B660M,,,,,,,,,,,,
